分类,九龙坡区,,九龙坡区,数量,,南岸区,数量,,沙坪坝区,分类,,渝中区,数量,,渝北区,分类,,酉阳县,数量,,永川区,,,石柱县,数量,,荣昌区,数量,,江北区,分类,,北碚区,数量,,北部新区,分类,,江津区,分类
高端,,,,,,,,,,,,甜点,1,,,,,,,,,,,,,,,,,小酒馆,2,,,,,,,,,
发型,,,,,,,,,,,,甜蜜,2,,,,,,,,,,,,,,,,,小清新,1,,,,,,,,,
定制,,,,,,,,,,,,甜品,1,,,,,,,,,,,,,,,,,眼镜,1,,,,,,,,,
电影,,,,,,,,,,,,停下来,1,,,,,,,,,,,,,,,,,尤克里里,1,,,,,,,,,
电音,,,,,,,,,,,,图书,1,,,,,,,,,,,,,,,,,杂货,1,,,,,,,,,
德国,,,,,,,,,,,,温暖,1,,,,,,,,,,,,,,,,,植物,1,,,,,,,,,
当代艺术,,,,,,,,,,,,舞台,1,,,,,,,,,,,,,,,,,自然,1,,,,,,,,,
搭配,,,,,,,,,,,,香茗,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
茶堂,,,,,,,,,,,,小厨,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
茶室,,,,,,,,,,,,幸福,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
茶社,,,,,,,,,,,,英伦,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
茶道,,,,,,,,,,,,影院,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
茶,,,,,,,,,,,,优雅,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐厅,,,,,,,,,,,,瑜伽,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
餐吧,,,,,,,,,,,,院子,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
冰,,,,,,,,,,,,杂志,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
八音盒,,,,,,,,,,,,中东风情,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
爱好,,,,,,,,,,,,自然,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
修心,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
邂逅,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小面,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
西餐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
纹身,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
涂鸦,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泰国菜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
素食,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
水上,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
手工,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收藏,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
普洱茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
品茗,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
披萨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
面包,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
量身,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
家具,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花艺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
烘焙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
工作室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
歌曲,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
复古,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
雕刻,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
刺身,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
窗外,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茶香,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茶器,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茶馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
民宿,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
中医,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
植物,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
杂货,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
浴室,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小店,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
太空舱,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
猫咪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老屋,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老记忆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
吉他,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
花饰,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
本土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
制茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
书吧,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
汽车,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
官邸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
茶艺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
艺展,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小清新,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
慢生活,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
蛋糕,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
尤克里里,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
眼镜,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小酒馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
午餐,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
玩具,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
陶艺,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
食堂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
融合,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
葡萄酒,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
牛排,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
泥土,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
奶酪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
灵魂,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
老木,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
混搭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
法式,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
禅茶,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
博物馆,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
美味,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
标本,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
小住,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
温泉,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
读书人,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
